"id","public_id","name","moldb_iupac","state","annotation_quality","description","cas_number","moldb_inchikey","moldb_inchi","moldb_smiles","moldb_mono_mass","kingdom","superklass","klass","subklass"
16458,"FDB016451","(2R)-Naringenin 6,8-di-C-glucoside","","low","Constituent of Zizyphus jujuba (Chinese date). (2R)-Naringenin 6,8-di-C-glucoside is found in fruits.","81446-26-6","OCC1OC(C(O)C(O)C1O)C1=C(O)C2=C(OC(CC2=O)C2=CC=C(O)C=C2)C(C2OC(CO)C(O)C(O)C2O)=C1O","InChI=1S/C27H32O15/c28-6-12-17(32)21(36)23(38)26(41-12)15-19(34)14-10(31)5-11(8-1-3-9(30)4-2-8)40-25(14)16(20(15)35)27-24(39)22(37)18(33)13(7-29)42-27/h1-4,11-13,17-18,21-24,26-30,32-39H,5-7H2",596.1741204,"KLDARLGFVGIIIL-UHFFFAOYSA-N","5,7-dihydroxy-2-(4-hydroxyphenyl)-6,8-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-3,4-dihydro-2H-1-benzopyran-4-one","","","",""
16460,"FDB016453","Neocarlinoside","","low","Isolated from Oryza sativa (rice). Neocarlinoside is found in cereals and cereal products and rice.","83151-89-7","OCC1OC(C(O)C(O)C1O)C1=C(O)C(C2OCC(O)C(O)C2O)=C2OC(=CC(=O)C2=C1O)C1=CC(O)=C(O)C=C1","InChI=1S/C26H28O15/c27-5-13-18(33)21(36)23(38)26(41-13)15-19(34)14-10(30)4-12(7-1-2-8(28)9(29)3-7)40-24(14)16(20(15)35)25-22(37)17(32)11(31)6-39-25/h1-4,11,13,17-18,21-23,25-29,31-38H,5-6H2",580.1428202,"XBGYTZHKGMCEGE-UHFFFAOYSA-N","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-8-(3,4,5-trihydroxyoxan-2-yl)-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16461,"FDB016454","Diosmetin 3,8-di-C-glucoside","","low","Isolated from peelings of Citrus sinensis (orange). Diosmetin 3,8-di-C-glucoside is found in sweet orange and citrus.","97218-32-1","COC1=C(O)C=C(C=C1)C1=C(C2OC(CO)C(O)C(O)C2O)C(=O)C2=C(O1)C(C1OC(CO)C(O)C(O)C1O)=C(O)C=C2O","InChI=1S/C28H32O16/c1-41-12-3-2-8(4-9(12)31)25-17(28-24(40)22(38)19(35)14(7-30)43-28)20(36)15-10(32)5-11(33)16(26(15)44-25)27-23(39)21(37)18(34)13(6-29)42-27/h2-5,13-14,18-19,21-24,27-35,37-40H,6-7H2,1H3",624.169035,"OZSVEJJFZRCNON-UHFFFAOYSA-N","5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-3,8-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16462,"FDB016455","Lucenin 2","","low","Lucenin 2 is a member of the class of compounds known as flavonoid 8-c-glycosides. Flavonoid 8-c-glycosides are compounds containing a carbohydrate moiety which is C-glycosidically linked to 8-position of a 2-phenylchromen-4-one flavonoid backbone. Lucenin 2 is soluble (in water) and a very weakly acidic compound (based on its pKa). Lucenin 2 can be found in flaxseed, which makes lucenin 2 a potential biomarker for the consumption of this food product. ","29428-58-8","OCC1OC(C(O)C(O)C1O)C1=C(O)C(C2OC(CO)C(O)C(O)C2O)=C2OC(=CC(=O)C2=C1O)C1=CC(O)=C(O)C=C1","InChI=1S/C27H30O16/c28-5-12-17(33)21(37)23(39)26(42-12)15-19(35)14-10(32)4-11(7-1-2-8(30)9(31)3-7)41-25(14)16(20(15)36)27-24(40)22(38)18(34)13(6-29)43-27/h1-4,12-13,17-18,21-24,26-31,33-40H,5-6H2",610.1533849,"ZLPSOQFIIQIIAX-UHFFFAOYSA-N","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6,8-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-4-one","","","",""
16463,"FDB016456","Diosmetin 6,8-di-C-glucoside","","low","Isolated from peelings of Citrus limon (lemon). Diosmetin 6,8-di-C-glucoside is found in lemon and citrus.","98813-28-6","COC1=C(O)C=C(C=C1)C1=CC(=O)C2=C(O)C(C3OC(CO)C(O)C(O)C3O)=C(O)C(C3OC(CO)C(O)C(O)C3O)=C2O1","InChI=1S/C28H32O16/c1-41-11-3-2-8(4-9(11)31)12-5-10(32)15-20(35)16(27-24(39)22(37)18(33)13(6-29)43-27)21(36)17(26(15)42-12)28-25(40)23(38)19(34)14(7-30)44-28/h2-5,13-14,18-19,22-25,27-31,33-40H,6-7H2,1H3",624.169035,"GEFQDWALEWZTAR-UHFFFAOYSA-N","5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-6,8-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16464,"FDB016457","Lucenin 2,7-O-rhamnoside","","low","Isolated from Linum usitatissimum (flax). Lucenin 2,7-O-rhamnoside is found in tea, coffee and coffee products, and fats and oils.","29432-27-7","CC1OC(OC2=C(C3OC(CO)C(O)C(O)C3O)C(O)=C3C(=O)C=C(OC3=C2C2OC(CO)C(O)C(O)C2O)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O","InChI=1S/C33H40O20/c1-8-19(39)23(43)28(48)33(49-8)53-30-17(31-26(46)24(44)20(40)14(6-34)51-31)22(42)16-12(38)5-13(9-2-3-10(36)11(37)4-9)50-29(16)18(30)32-27(47)25(45)21(41)15(7-35)52-32/h2-5,8,14-15,19-21,23-28,31-37,39-48H,6-7H2,1H3",756.2112937,"JGKAYWDKUOHFBC-UHFFFAOYSA-N","2-(3,4-dihydroxyphenyl)-5-hydroxy-6,8-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-7-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16465,"FDB016458","Apigenin 3,6-di-C-glucoside","","low","Isolated from Citrus unshiu (satsuma mandarin). Apigenin 3,6-di-C-glucoside is found in citrus.","90456-55-6","OCC1OC(C(O)C(O)C1O)C1=C(O)C2=C(OC(C3=CC=C(O)C=C3)=C(C3OC(CO)C(O)C(O)C3O)C2=O)C=C1O","InChI=1S/C27H30O15/c28-6-12-17(32)21(36)23(38)26(41-12)14-10(31)5-11-15(19(14)34)20(35)16(25(40-11)8-1-3-9(30)4-2-8)27-24(39)22(37)18(33)13(7-29)42-27/h1-5,12-13,17-18,21-24,26-34,36-39H,6-7H2",594.1584703,"LXJLIJWTKFLSRJ-UHFFFAOYSA-N","5,7-dihydroxy-2-(4-hydroxyphenyl)-3,6-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16466,"FDB016459","Acacetin 3,6-di-C-glucoside","","low","Isolated from Fortunella japonica (round kumquat). Acacetin 3,6-di-C-glucoside is found in fruits.","98891-91-9","COC1=CC=C(C=C1)C1=C(C2OC(CO)C(O)C(O)C2O)C(=O)C2=C(O1)C=C(O)C(C1OC(CO)C(O)C(O)C1O)=C2O","InChI=1S/C28H32O15/c1-40-10-4-2-9(3-5-10)26-17(28-25(39)23(37)19(33)14(8-30)43-28)21(35)16-12(41-26)6-11(31)15(20(16)34)27-24(38)22(36)18(32)13(7-29)42-27/h2-6,13-14,18-19,22-25,27-34,36-39H,7-8H2,1H3",608.1741204,"RRYBNEMBSQZZBH-UHFFFAOYSA-N","5,7-dihydroxy-2-(4-methoxyphenyl)-3,6-bis[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16467,"FDB016460","Genkwanin 6-C-glucoside 8-C-galactoside","","low","Isolated from roots of Glycine max (soybean). Genkwanin 6-C-glucoside 8-C-galactoside is found in soy bean and pulses.","71-30-7","COC1=C(C2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)C2=C(C(=O)C=C(O2)C2=CC=C(O)C=C2)C(O)=C1C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O","InChI=1S/C28H32O15/c1-40-25-16(27-23(38)21(36)18(33)13(7-29)42-27)20(35)15-11(32)6-12(9-2-4-10(31)5-3-9)41-26(15)17(25)28-24(39)22(37)19(34)14(8-30)43-28/h2-6,13-14,18-19,21-24,27-31,33-39H,7-8H2,1H3/t13-,14-,18-,19+,21+,22+,23-,24-,27?,28?/m1/s1",608.1741204,"GHHBRJNUNAWXEV-QVCVYZROSA-N","5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-8-[(3R,4R,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-6-[(3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16468,"FDB016461","Vicenin 1","","low","Isoschaftoside is a member of the class of compounds known as flavonoid 8-c-glycosides. Flavonoid 8-c-glycosides are compounds containing a carbohydrate moiety which is C-glycosidically linked to 8-position of a 2-phenylchromen-4-one flavonoid backbone. Isoschaftoside is slightly soluble (in water) and a very weakly acidic compound (based on its pKa). Isoschaftoside can be found in a number of food items such as pepper (c. annuum), tea, orange bell pepper, and italian sweet red pepper, which makes isoschaftoside a potential biomarker for the consumption of these food products. ","35927-38-9","OCC1OC(C(O)C(O)C1O)C1=C(O)C(C2OCC(O)C(O)C2O)=C(O)C2=C1OC(=CC2=O)C1=CC=C(O)C=C1","InChI=1S/C26H28O14/c27-6-13-18(32)21(35)23(37)26(40-13)16-20(34)15(25-22(36)17(31)11(30)7-38-25)19(33)14-10(29)5-12(39-24(14)16)8-1-3-9(28)4-2-8/h1-5,11,13,17-18,21-23,25-28,30-37H,6-7H2",564.1479056,"OVMFOVNOXASTPA-UHFFFAOYSA-N","5,7-dihydroxy-2-(4-hydroxyphenyl)-8-[(2S,4R,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-6-[(2S,4S,5R)-3,4,5-trihydroxyoxan-2-yl]-4H-chromen-4-one","","","",""
16469,"FDB016462","Isomargaritene","","low","Isolated from Fortunella margarita (oval kumquat) and Fortunella japonica (round kumquat). Isomargaritene is found in fruits.","64271-11-0","COC1=CC=C(C=C1)C1=CC(=O)C2=C(O)C(C3OC(CO)C(O)C(O)C3OC3OC(C)C(O)C(O)C3O)=C(O)C=C2O1","InChI=1S/C28H32O14/c1-10-20(32)23(35)25(37)28(39-10)42-27-24(36)21(33)17(9-29)41-26(27)19-14(31)8-16-18(22(19)34)13(30)7-15(40-16)11-3-5-12(38-2)6-4-11/h3-8,10,17,20-21,23-29,31-37H,9H2,1-2H3",592.1792057,"JIKPWRRUSIBFLE-UHFFFAOYSA-N","6-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl]-5,7-dihydroxy-2-(4-methoxyphenyl)-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16471,"FDB016464","Isoswertin 2''-rhamnoside","","low","Isolated from Avena sativa (coats) and Gnetum africanum. Isoswertin 2''-rhamnoside is found in oat, cereals and cereal products, and green vegetables.","64821-00-7","COC1=C(C2OC(CO)C(O)C(O)C2OC2OC(C)C(O)C(O)C2O)C2=C(C(O)=C1)C(=O)C=C(O2)C1=CC=C(O)C=C1","InChI=1S/C28H32O14/c1-10-20(33)22(35)24(37)28(39-10)42-27-23(36)21(34)17(9-29)41-26(27)19-16(38-2)8-14(32)18-13(31)7-15(40-25(18)19)11-3-5-12(30)6-4-11/h3-8,10,17,20-24,26-30,32-37H,9H2,1-2H3",592.1792057,"HFUYHHROXLKXRR-UHFFFAOYSA-N","8-[4,5-dihydroxy-6-(hydroxymethyl)-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl]-5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16472,"FDB016465","Molludistin 2''-rhamnoside","","low","Isolated from Gnetum africanum and Avena sativa (oats). Molludistin 2''-rhamnoside is found in oat, cereals and cereal products, and green vegetables.","66274-23-5","COC1=CC(O)=C2C(=O)C=C(OC2=C1C1OCC(O)C(O)C1OC1OC(C)C(O)C(O)C1O)C1=CC=C(O)C=C1","InChI=1S/C27H30O13/c1-10-20(32)22(34)23(35)27(38-10)40-26-21(33)15(31)9-37-25(26)19-17(36-2)8-14(30)18-13(29)7-16(39-24(18)19)11-3-5-12(28)6-4-11/h3-8,10,15,20-23,25-28,30-35H,9H2,1-2H3",562.168641,"JNFIIHAPWGTZJC-UHFFFAOYSA-N","8-{4,5-dihydroxy-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl}-5-hydroxy-2-(4-hydroxyphenyl)-7-methoxy-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16473,"FDB016466","Maysin","","low","Isolated from corn silk (Zea mays). Maysin is found in cereals and cereal products and corn.","70255-49-1","CC1OC(OC2C(O)C(=O)C(C)OC2C2=C(O)C=C3OC(=CC(=O)C3=C2O)C2=CC(O)=C(O)C=C2)C(O)C(O)C1O","InChI=1S/C27H28O14/c1-8-20(33)23(36)26(41-27-24(37)22(35)19(32)9(2)39-27)25(38-8)18-14(31)7-16-17(21(18)34)13(30)6-15(40-16)10-3-4-11(28)12(29)5-10/h3-9,19,22-29,31-32,34-37H,1-2H3",576.1479056,"GKLSYIMLZDYQBJ-UHFFFAOYSA-N","2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-6-{4-hydroxy-6-methyl-5-oxo-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl}-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16474,"FDB016467","Maysin 3'-methyl ether","","low","Isolated from corn silk (Zea mays). Maysin 3'-methyl ether is found in cereals and cereal products and corn.","74158-05-7","COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C(C3OC(C)C(=O)C(O)C3OC3OC(C)C(O)C(O)C3O)=C(O)C=C2O1","InChI=1S/C28H30O14/c1-9-21(33)24(36)27(42-28-25(37)23(35)20(32)10(2)40-28)26(39-9)19-14(31)8-17-18(22(19)34)13(30)7-15(41-17)11-4-5-12(29)16(6-11)38-3/h4-10,20,23-29,31-32,34-37H,1-3H3",590.1635557,"OKTXLUXOQRQVRH-UHFFFAOYSA-N","5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-6-{4-hydroxy-6-methyl-5-oxo-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl}-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16475,"FDB016468","Apimaysin","","low","Isolated from corn silk (Zea mays). Apimaysin is found in cereals and cereal products and corn.","74158-04-6","CC1OC(OC2C(O)C(=O)C(C)OC2C2=C(O)C=C3OC(=CC(=O)C3=C2O)C2=CC=C(O)C=C2)C(O)C(O)C1O","InChI=1S/C27H28O13/c1-9-20(32)23(35)26(40-27-24(36)22(34)19(31)10(2)38-27)25(37-9)18-14(30)8-16-17(21(18)33)13(29)7-15(39-16)11-3-5-12(28)6-4-11/h3-10,19,22-28,30-31,33-36H,1-2H3",560.152991,"LCQVQAZLYBJMGJ-UHFFFAOYSA-N","5,7-dihydroxy-6-{4-hydroxy-6-methyl-5-oxo-3-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]oxan-2-yl}-2-(4-hydroxyphenyl)-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16476,"FDB016469","Isoscoparin 2''-glucoside","","low","Isolated from Oryza sativa (rice). Isoscoparin 2''-glucoside is found in cereals and cereal products and rice.","97605-25-9","COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C(C3OC(CO)C(O)C(O)C3OC3OC(CO)C(O)C(O)C3O)=C(O)C=C2O1","InChI=1S/C28H32O16/c1-40-14-4-9(2-3-10(14)31)13-5-11(32)18-15(41-13)6-12(33)19(22(18)36)26-27(24(38)21(35)16(7-29)42-26)44-28-25(39)23(37)20(34)17(8-30)43-28/h2-6,16-17,20-21,23-31,33-39H,7-8H2,1H3",624.169035,"AQQFWSYLUDMDBP-UHFFFAOYSA-N","6-[4,5-dihydroxy-6-(hydroxymethyl)-3-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]-5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16477,"FDB016470","Isoscoparin 2''-(6-(E)-p-coumaroylglucoside)","","low","Isolated from rice. Isoscoparin 2''-(6-(E)-p-coumaroylglucoside) is found in cucumber, cereals and cereal products, and rice.","99445-33-7","COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C(C3OC(CO)C(O)C(O)C3OC3OC(COC(=O)\C=C\C4=CC=C(O)C=C4)C(O)C(O)C3O)=C(O)C=C2O1","InChI=1S/C37H38O18/c1-50-22-10-16(5-8-18(22)40)21-11-19(41)27-23(52-21)12-20(42)28(31(27)46)35-36(33(48)29(44)24(13-38)53-35)55-37-34(49)32(47)30(45)25(54-37)14-51-26(43)9-4-15-2-6-17(39)7-3-15/h2-12,24-25,29-30,32-40,42,44-49H,13-14H2,1H3/b9-4+",770.2058144,"PLLYYRRPIIWFON-RUDMXATFSA-N","[6-({2-[5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-6-yl]-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl}oxy)-3,4,5-trihydroxyoxan-2-yl]methyl (2E)-3-(4-hydroxyphenyl)prop-2-enoate","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16478,"FDB016471","Isoscoparin 7-glucoside","","low","Isoscoparin 7-glucoside is a member of the class of compounds known as flavonoid-7-o-glycosides. Flavonoid-7-o-glycosides are phenolic compounds containing a flavonoid moiety which is O-glycosidically linked to carbohydrate moiety at the C7-position. Isoscoparin 7-glucoside is slightly soluble (in water) and a very weakly acidic compound (based on its pKa). Isoscoparin 7-glucoside can be found in barley, which makes isoscoparin 7-glucoside a potential biomarker for the consumption of this food product.","50307-26-1","COC1=C(O)C=CC(=C1)C1=CC(=O)C2=C(O)C(C3OC(CO)C(O)C(O)C3O)=C(OC3OC(CO)C(O)C(O)C3O)C=C2O1","InChI=1S/C28H32O16/c1-40-13-4-9(2-3-10(13)31)12-5-11(32)18-14(41-12)6-15(43-28-26(39)24(37)21(34)17(8-30)44-28)19(22(18)35)27-25(38)23(36)20(33)16(7-29)42-27/h2-6,16-17,20-21,23-31,33-39H,7-8H2,1H3",624.169035,"OIGSSDJKYJBKMU-UHFFFAOYSA-N","5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-7-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one","","","",""
16479,"FDB016472","Citrusinol","","low","Isolated from root bark of king orange (Citrus nobilis). Citrusinol is found in citrus.","112516-43-5","CC1(C)OC2=CC(O)=C3C(=O)C(O)=C(OC3=C2C=C1)C1=CC=C(O)C=C1","InChI=1S/C20H16O6/c1-20(2)8-7-12-14(26-20)9-13(22)15-16(23)17(24)18(25-19(12)15)10-3-5-11(21)6-4-10/h3-9,21-22,24H,1-2H3",352.0946882,"OKQQXHUICMLKQI-UHFFFAOYSA-N","3,5-dihydroxy-2-(4-hydroxyphenyl)-8,8-dimethyl-4H,8H-pyrano[2,3-f]chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Pyranoflavonoids"
16480,"FDB016473","Cycloartocarpesin","","low","Isolated from Artocarpus heterophyllus (jackfruit). Cycloartocarpesin is found in jackfruit and fruits.","23806-61-3","CC1(C)OC2=CC3=C(C(O)=C2C=C1)C(=O)C=C(O3)C1=C(O)C=C(O)C=C1","InChI=1S/C20H16O6/c1-20(2)6-5-12-16(26-20)9-17-18(19(12)24)14(23)8-15(25-17)11-4-3-10(21)7-13(11)22/h3-9,21-22,24H,1-2H3",352.0946882,"LXEJWVDCRDILQQ-UHFFFAOYSA-N","2-(2,4-dihydroxyphenyl)-5-hydroxy-8,8-dimethyl-4H,8H-pyrano[3,2-g]chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Pyranoflavonoids"
16481,"FDB016474","Kaempferol 7-rhamnoside","","low","3,5-dihydroxy-2-(4-hydroxyphenyl)-7-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]-4h-chromen-4-one is a member of the class of compounds known as flavonoid-7-o-glycosides. Flavonoid-7-o-glycosides are phenolic compounds containing a flavonoid moiety which is O-glycosidically linked to carbohydrate moiety at the C7-position. 3,5-dihydroxy-2-(4-hydroxyphenyl)-7-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]-4h-chromen-4-one is slightly soluble (in water) and a very weakly acidic compound (based on its pKa). 3,5-dihydroxy-2-(4-hydroxyphenyl)-7-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]-4h-chromen-4-one can be found in alfalfa and gram bean, which makes 3,5-dihydroxy-2-(4-hydroxyphenyl)-7-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]-4h-chromen-4-one a potential biomarker for the consumption of these food products. ","20196-89-8","CC1OC(OC2=CC(O)=C3C(=O)C(O)=C(OC3=C2)C2=CC=C(O)C=C2)C(O)C(O)C1O","InChI=1S/C21H20O10/c1-8-15(24)17(26)19(28)21(29-8)30-11-6-12(23)14-13(7-11)31-20(18(27)16(14)25)9-2-4-10(22)5-3-9/h2-8,15,17,19,21-24,26-28H,1H3",432.1056469,"HQNOUCSPWAGQND-UHFFFAOYSA-N","3,5-dihydroxy-2-(4-hydroxyphenyl)-7-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]-4H-chromen-4-one","","","",""
16483,"FDB016476","Kaempferol 3-sophoroside 7-rhamnoside","","low","Isolated from Solanum tuberosum (potato). Kaempferol 3-sophoroside 7-rhamnoside is found in alcoholic beverages and potato.","93098-79-4","CC1OC(OC2=CC(O)=C3C(=O)C(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)=C(OC3=C2)C2=CC=C(O)C=C2)C(O)C(O)C1O","InChI=1S/C33H40O20/c1-10-19(38)23(42)26(45)31(47-10)48-13-6-14(37)18-15(7-13)49-28(11-2-4-12(36)5-3-11)29(22(18)41)52-33-30(25(44)21(40)17(9-35)51-33)53-32-27(46)24(43)20(39)16(8-34)50-32/h2-7,10,16-17,19-21,23-27,30-40,42-46H,8-9H2,1H3",756.2112937,"VRYWDBDPXMHHGE-UHFFFAOYSA-N","3-{[4,5-dihydroxy-6-(hydroxymethyl)-3-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-5-hydroxy-2-(4-hydroxyphenyl)-7-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16484,"FDB016477","Kaempferol 3-sophorotrioside 7-rhamnoside","","low","Isolated from Solanum tuberosum (potato). Kaempferol 3-sophorotrioside 7-rhamnoside is found in alcoholic beverages and potato.","50906-48-4","CC1OC(OC2=CC(O)=C3C(=O)C(OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4OC4OC(CO)C(O)C(O)C4O)=C(OC3=C2)C2=CC=C(O)C=C2)C(O)C(O)C1O","InChI=1S/C39H50O25/c1-11-21(45)26(50)30(54)36(56-11)57-14-6-15(44)20-16(7-14)58-32(12-2-4-13(43)5-3-12)33(25(20)49)62-38-35(29(53)24(48)18(9-41)60-38)64-39-34(28(52)23(47)19(10-42)61-39)63-37-31(55)27(51)22(46)17(8-40)59-37/h2-7,11,17-19,21-24,26-31,34-48,50-55H,8-10H2,1H3",918.2641172,"BFCBWGVCQKVMCS-UHFFFAOYSA-N","3-[(3-{[4,5-dihydroxy-6-(hydroxymethyl)-3-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl)oxy]-5-hydroxy-2-(4-hydroxyphenyl)-7-[(3,4,5-trihydroxy-6-methyloxan-2-yl)oxy]-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16485,"FDB016478","Astragalin","","low","Present in red wine. Isolated from many plant subspecies

Astragalin is a 3-O-glucoside of kaempferol.; Astragalin is a chemical compound. It can be isolated from Phytolacca americana (the American pokeweed). Astragalin is found in many foods, some of which are sunflower, black elderberry, loganberry, and yellow zucchini.","480-10-4","OC[C@H]1O[C@@H](OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O","InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2/t13-,15-,17+,18-,21+/m1/s1",448.1005615,"JPUKWEQWGBDDQB-QSOFNFLRSA-N","5,7-dihydroxy-2-(4-hydroxyphenyl)-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one","Organic compounds","Phenylpropanoids and polyketides","Flavonoids","Flavonoid glycosides"
16486,"FDB016479","Acetylastragalin","","low","Isolated from liquorice (Glycyrrhiza glabra). Acetylastragalin is found in herbs and spices.","23627-87-4","OCC1OC(OC2=C(OC3=CC(O)=CC(O)=C3C2=O)C2=CC=C(O)C=C2)C(O)C(O)C1O","InChI=1S/C21H20O11/c22-7-13-15(26)17(28)18(29)21(31-13)32-20-16(27)14-11(25)5-10(24)6-12(14)30-19(20)8-1-3-9(23)4-2-8/h1-6,13,15,17-18,21-26,28-29H,7H2",448.1005615,"JPUKWEQWGBDDQB-UHFFFAOYSA-N","(2S,3R,4S,5S,6R)-2-{[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-chromen-3-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl acetate","","","",""
