Ingredient_code,orig_food_id,food_V2_ID,asa_descrip,foodb_descrip,osa,lv,dl,hamming,lcs,qgram,cosine,jaccard,jw,soundex,Classification
2009,2009,8689,spices chili powder,mint,0.052631579,0.052631579,0.052631579,0,0.086956522,0.086956522,0.253546276,0.066666667,0.434210526,0,0
2009,2009,8921,spices chili powder,dragée average values,0.142857143,0.142857143,0.142857143,0,0.2,0.4,0.417927114,0.352941176,0.422723475,0,0
1017,1017,130,cheese cream,basswood,0.083333333,0.083333333,0.083333333,0,0.1,0.2,0.169841555,0.166666667,0.402777778,0,0
1017,1017,4747,cheese cream,cheese cream,1,1,1,1,1,1,1,1,1,1,1
1017,1017,7874,cheese cream,cream crackers,0.357142857,0.357142857,0.357142857,0,0.461538462,0.692307692,0.787726361,0.777777778,0.617857143,0,0
1004,1004,4734,cheese blue,cheese blue,1,1,1,1,1,1,1,1,1,1,1
1004,1004,8005,cheese blue,bread white with whole kernels,0.166666667,0.166666667,0.166666667,0,0.243902439,0.43902439,0.713823514,0.352941176,0.527994228,0,0
1228,1228,179,cheese fresh queso fresco,mangosteen,0.12,0.12,0.12,0,0.171428571,0.228571429,0.528043184,0.2,0.362222222,0,0
1228,1228,4790,cheese fresh queso fresco,cheese fresh queso fresco,1,1,1,1,1,1,1,1,1,1,1
1054,1054,136,cream whipped cream topping pressurized,broadbean,0.153846154,0.153846154,0.153846154,0,0.25,0.291666667,0.432218911,0.315789474,0.523504274,0,0
1054,1054,494,cream whipped cream topping pressurized,pepper white,0.205128205,0.205128205,0.205128205,0,0.31372549,0.470588235,0.823329307,0.444444444,0.581390831,0,0
1054,1054,5507,cream whipped cream topping pressurized,cream whipped cream topping pressurized,1,1,1,1,1,1,1,1,1,1,1
1077,1077,141,milk whole 3.25 milkfat with added vitamin d,corn,0.045454545,0.045454545,0.045454545,0,0.083333333,0.083333333,0.081649658,0.095238095,0.424242424,0,0
1077,1077,4820,milk whole 3.25 milkfat with added vitamin d,milk whole 3.25 milkfat with added vitamin d,1,1,1,1,1,1,1,1,1,1,1
1077,1077,4994,milk whole 3.25 milkfat with added vitamin d,rum,0.022727273,0.022727273,0.022727273,0,0.042553191,0.042553191,0.141421356,0.047619048,0.452020202,0,0
1011,1011,1774,cheese colby,cornflakes frosted,0.222222222,0.222222222,0.222222222,0,0.333333333,0.466666667,0.591607978,0.375,0.525,0,0
1011,1011,4741,cheese colby,cheese colby,1,1,1,1,1,1,1,1,1,1,1
1019,1019,195,cheese feta,salsify,0.181818182,0.181818182,0.181818182,0,0.222222222,0.333333333,0.278019219,0.272727273,0.489177489,0,0
1019,1019,4749,cheese feta,cheese feta,1,1,1,1,1,1,1,1,1,1,1
1019,1019,5184,cheese feta,crispbread knackebrot rye coarse husmans,0.175,0.175,0.175,0,0.274509804,0.392156863,0.622974265,0.368421053,0.584431818,0,0
1133,1133,4861,egg whole dried,egg whole dried,1,1,1,1,1,1,1,1,1,1,1
1133,1133,5196,egg whole dried,pastry with poppy seeds,0.260869565,0.260869565,0.260869565,0,0.368421053,0.526315789,0.502266004,0.533333333,0.534138486,0,0
1091,1091,536,milk dry nonfat regular without added vitamin a vitamin d,oil safflower high oleic acid content,0.280701754,0.280701754,0.280701754,0,0.361702128,0.574468085,0.785525916,0.666666667,0.580150326,0,0
1091,1091,6848,milk dry nonfat regular without added vitamin a vitamin d,milk dry nonfat regular without added vitamin a vitamin d,1,1,1,1,1,1,1,1,1,1,1
1057,1057,138,eggnog,black gram,0.1,0.1,0.1,0,0.125,0.125,0.25,0.083333333,0.422222222,0,0
1057,1057,5726,eggnog,yeast dried,0.090909091,0.090909091,0.090909091,0,0.117647059,0.117647059,0.149071198,0.083333333,0.419191919,0,0
1057,1057,5769,eggnog,eggnog,1,1,1,1,1,1,1,1,1,1,1
1015,1015,823,cheese cottage lowfat 2 milkfat,barley flour raw,0.161290323,0.161290323,0.161290323,0,0.29787234,0.425531915,0.56694671,0.35,0.45094086,0,0
1015,1015,4745,cheese cottage lowfat 2 milkfat,cheese cottage lowfat 2 milkfat,1,1,1,1,1,1,1,1,1,1,1
1048,1048,928,cheese spread pasteurized process american,nutmeg whole,0.119047619,0.119047619,0.119047619,0,0.185185185,0.333333333,0.53294804,0.421052632,0.464285714,0,0
1048,1048,7109,cheese spread pasteurized process american,cheese spread pasteurized process american,1,1,1,1,1,1,1,1,1,1,1
1022,1022,948,cheese gouda,rice starch,0.083333333,0.083333333,0.166666667,0,0.347826087,0.52173913,0.547722558,0.461538462,0.557070707,0,0
1022,1022,4752,cheese gouda,cheese gouda,1,1,1,1,1,1,1,1,1,1,1
1040,1040,135,cheese swiss,bilberry,0.083333333,0.083333333,0.083333333,0,0.1,0.2,0.210818511,0.181818182,0.402777778,0,0
1040,1040,4589,cheese swiss,ptarmigan flesh raw,0.105263158,0.105263158,0.105263158,0,0.258064516,0.387096774,0.406838102,0.375,0.389619883,0,0
1040,1040,4770,cheese swiss,cheese swiss,1,1,1,1,1,1,1,1,1,1,1
1224,1224,163,protein supplement milk based muscle milk light powder,durian,0.055555556,0.055555556,0.055555556,0,0.1,0.2,0.369772081,0.3,0.475308642,0,0
1224,1224,7495,protein supplement milk based muscle milk light powder,protein supplement milk based muscle milk light powder,1,1,1,1,1,1,1,1,1,1,1
1005,1005,183,cheese brick,new zealand spinach,0.210526316,0.210526316,0.210526316,0,0.322580645,0.451612903,0.491353815,0.375,0.521929825,0,0
1005,1005,4735,cheese brick,cheese brick,1,1,1,1,1,1,1,1,1,1,1
1103,1103,5325,milk chocolate fluid commercial reduced fat with added vitamin a vitamin d,marzipan,0.081081081,0.081081081,0.081081081,0,0.146341463,0.146341463,0.470561974,0.25,0.51777027,0,0
1103,1103,6838,milk chocolate fluid commercial reduced fat with added vitamin a vitamin d,milk chocolate fluid commercial reduced fat with added vitamin a vitamin d,1,1,1,1,1,1,1,1,1,1,1
1253,1253,4793,cheese pasteurized process american without added vitamin d,cheese pasteurized process american without added vitamin d,1,1,1,1,1,1,1,1,1,1,1
1253,1253,8279,cheese pasteurized process american without added vitamin d,margarine 80  fat for frying/baking vegetable fat,0.169491525,0.169491525,0.169491525,0,0.314814815,0.555555556,0.719402656,0.37037037,0.556906491,0,0
1037,1037,4546,cheese ricotta part skim milk,duck breast flesh only raw,0.137931034,0.137931034,0.137931034,0,0.327272727,0.654545455,0.770837299,0.523809524,0.566119584,0,0
1037,1037,4767,cheese ricotta part skim milk,cheese ricotta part skim milk,1,1,1,1,1,1,1,1,1,1,1
1023,1023,131,cheese gruyere,alholva sp.,0.071428571,0.071428571,0.071428571,0,0.16,0.24,0.129099445,0.2,0.384559885,0,0
1023,1023,944,cheese gruyere,rice bran,0.214285714,0.214285714,0.214285714,0,0.347826087,0.434782609,0.552770798,0.307692308,0.576719577,0,0
1023,1023,4753,cheese gruyere,cheese gruyere,1,1,1,1,1,1,1,1,1,1,1
1014,1014,734,cheese cottage nonfat uncreamed dry large small curd,buckwheat flour,0.153846154,0.153846154,0.153846154,0,0.268656716,0.358208955,0.679755154,0.55,0.511926962,0,0
1014,1014,4744,cheese cottage nonfat uncreamed dry large small curd,cheese cottage nonfat uncreamed dry large small curd,1,1,1,1,1,1,1,1,1,1,1
1067,1067,612,cream substitute liquid with hydrogenated vegetable oil soy protein,coffee instant prepared with water,0.23880597,0.23880597,0.23880597,0,0.356435644,0.594059406,0.859008987,0.608695652,0.659931958,0,0
1067,1067,7148,cream substitute liquid with hydrogenated vegetable oil soy protein,cream substitute liquid with hydrogenated vegetable oil soy protein,1,1,1,1,1,1,1,1,1,1,1
1006,1006,4736,cheese brie,cheese brie,1,1,1,1,1,1,1,1,1,1,1
1006,1006,8004,cheese brie,bread white with wheat bran,0.222222222,0.222222222,0.222222222,0,0.315789474,0.421052632,0.601929265,0.461538462,0.570356341,0,0
1030,1030,4760,cheese muenster,cheese muenster,1,1,1,1,1,1,1,1,1,1,1
1030,1030,4842,cheese muenster,egg chicken yolk dried,0.227272727,0.227272727,0.227272727,0,0.27027027,0.432432432,0.570033837,0.352941176,0.486489899,0,0
1012,1012,1772,cheese cottage creamed large small curd,breakfast cereal muesli average values,0.256410256,0.256410256,0.256410256,0,0.493506494,0.727272727,0.886645056,0.578947368,0.663501703,0,0
1012,1012,4742,cheese cottage creamed large small curd,cheese cottage creamed large small curd,1,1,1,1,1,1,1,1,1,1,1
1154,1154,1313,milk dry nonfat regular with added vitamin a vitamin d,currant red juice concentrated sugar added,0.203703704,0.203703704,0.203703704,0,0.354166667,0.604166667,0.763612372,0.5,0.593079122,0,0
1154,1154,6851,milk dry nonfat regular with added vitamin a vitamin d,milk dry nonfat regular with added vitamin a vitamin d,1,1,1,1,1,1,1,1,1,1,1
1050,1050,4593,cream fluid light coffee cream table cream,seaweed agar,0.166666667,0.166666667,0.166666667,0,0.296296296,0.37037037,0.674400487,0.333333333,0.506613757,0,0
1050,1050,5504,cream fluid light coffee cream table cream,cream fluid light coffee cream table cream,1,1,1,1,1,1,1,1,1,1,1
1073,1073,4668,dessert topping semi solid frozen,liqueur creme de menthe,0.181818182,0.181818182,0.181818182,0,0.357142857,0.535714286,0.676123404,0.473684211,0.499206108,0,0
1073,1073,7163,dessert topping semi solid frozen,dessert topping semi solid frozen,1,1,1,1,1,1,1,1,1,1,1
1073,1073,9030,dessert topping semi solid frozen,liqueur crème de menthe,0.181818182,0.181818182,0.181818182,0,0.321428571,0.535714286,0.678483353,0.45,0.499206108,0,0
1166,1166,759,cheese mexican queso asadero,strawberry jam,0.142857143,0.142857143,0.142857143,0,0.238095238,0.333333333,0.524404424,0.3,0.408730159,0,0
1166,1166,4780,cheese mexican queso asadero,cheese mexican queso asadero,1,1,1,1,1,1,1,1,1,1,1
1157,1157,1307,cheese goat semisoft type,currant black juice concentrated sugar added,0.204545455,0.204545455,0.204545455,0,0.289855072,0.463768116,0.601928093,0.409090909,0.592272727,0,0
1157,1157,4777,cheese goat semisoft type,cheese goat semisoft type,1,1,1,1,1,1,1,1,1,1,1
1104,1104,4986,milk chocolate lowfat with added vitamin a vitamin d,liquorice average values,0.192307692,0.192307692,0.192307692,0,0.289473684,0.394736842,0.619139187,0.380952381,0.471153846,0,0
1104,1104,6839,milk chocolate lowfat with added vitamin a vitamin d,milk chocolate fluid commercial lowfat with added vitamin a vitamin d,0.753623188,0.753623188,0.753623188,0,0.859504132,0.859504132,0.984834842,0.888888889,0.885340022,1,1
1095,1095,214,milk canned condensed sweetened,ucahuba,0.064516129,0.064516129,0.064516129,0,0.105263158,0.105263158,0.112464311,0.117647059,0.450076805,0,0
1095,1095,381,milk canned condensed sweetened,oil rape seed low eruca acid content,0.305555556,0.305555556,0.305555556,0,0.447761194,0.626865672,0.79654426,0.705882353,0.610727087,0,0
1095,1095,8275,milk canned condensed sweetened,milk canned condensed sweetened,1,1,1,1,1,1,1,1,1,1,1
1003,1003,6124,butter oil anhydrous,dumplings average values,0.208333333,0.208333333,0.208333333,0,0.318181818,0.545454545,0.606103218,0.526315789,0.517929293,0,0
1003,1003,7588,butter oil anhydrous,butter oil anhydrous,1,1,1,1,1,1,1,1,1,1,1
2007,2007,284,spices celery seed,spices celery seed,1,1,1,1,1,1,1,1,1,1,1
2007,2007,5320,spices celery seed,dragee liquorice,0.166666667,0.166666667,0.166666667,0,0.294117647,0.529411765,0.707673146,0.466666667,0.523148148,0,0
2007,2007,8920,spices celery seed,drageé liquorice,0.166666667,0.166666667,0.166666667,0,0.294117647,0.470588235,0.615457455,0.4375,0.44212963,0,0
1088,1088,5329,milk buttermilk fluid cultured lowfat,salad dressing blue cheese,0.243243243,0.243243243,0.243243243,0,0.317460317,0.476190476,0.555885788,0.5,0.463270963,0,0
1088,1088,6861,milk buttermilk fluid cultured lowfat,milk buttermilk fluid cultured lowfat,1,1,1,1,1,1,1,1,1,1,1
